@relation security_category
@attribute class {Security_Level_1,Security_Level_2,Security_Level_3}
@attribute text String
@data

Security_Level_1,'fold'
Security_Level_1,'anim'
Security_Level_1,'research'
Security_Level_1,'us'
Security_Level_1,'test'
Security_Level_1,'human'
Security_Level_1,'uk'
Security_Level_1,'medicin'
Security_Level_1,'all'
Security_Level_1,'method'
Security_Level_1,'effect'
Security_Level_1,'replac'
Security_Level_1,'from'
Security_Level_1,'here'
Security_Level_1,'new'
Security_Level_1,'which'
Security_Level_1,'have'
Security_Level_1,'can'
Security_Level_1,'allow'
Security_Level_1,'studi'
Security_Level_1,'primarili'
Security_Level_1,'naalpo'
Security_Level_1,'what'
Security_Level_1,'king'
Security_Level_1,'ventil'
Security_Level_1,'rule'
Security_Level_1,'anybodi'
Security_Level_1,'william'
Security_Level_1,'telegraph'
Security_Level_1,'bite'
Security_Level_1,'current'
Security_Level_1,'oxford'
Security_Level_1,'surviv'
Security_Level_1,'share'
Security_Level_1,'progress'
Security_Level_1,'nuffield'
Security_Level_1,'typic'
Security_Level_1,'presid'
Security_Level_1,'rapidli'
Security_Level_1,'19th'
Security_Level_2,'food'
Security_Level_2,'requir'
Security_Level_2,'cfr'
Security_Level_2,'activ'
Security_Level_2,'part'
Security_Level_2,'tabl'
Security_Level_2,'establish'
Security_Level_2,'facil'
Security_Level_2,'fda'
Security_Level_2,'process'
Security_Level_2,'livestock'
Security_Level_2,'from'
Security_Level_2,'subject'
Security_Level_2,'supplier'
Security_Level_2,'fair'
Security_Level_2,'includ'
Security_Level_2,'transform'
Security_Level_2,'ani'
Security_Level_2,'manufactur'
Security_Level_2,'guidanc'
Security_Level_2,'handl'
Security_Level_2,'street'
Security_Level_2,'plum'
Security_Level_2,'nectarin'
Security_Level_2,'share'
Security_Level_2,'bell'
Security_Level_2,'construct'
Security_Level_2,'belt'
Security_Level_2,'polici'
Security_Level_2,'round'
Security_Level_2,'modif'
Security_Level_2,'mortal'
Security_Level_2,'land'
Security_Level_2,'outbreak'
Security_Level_2,'sprai'
Security_Level_2,'tendenc'
Security_Level_2,'intrus'
Security_Level_2,'puerto'
Security_Level_2,'thermophil'
Security_Level_2,'cbp'
Security_Level_3,'document'
Security_Level_3,'colleg'
Security_Level_3,'index'
Security_Level_3,'us'
Security_Level_3,'share'
Security_Level_3,'algorithm'
Security_Level_3,'inform'
Security_Level_3,'number'
Security_Level_3,'colorimagedownsamplethreshold'
Security_Level_3,'retriev'
Security_Level_3,'from'
Security_Level_3,'word'
Security_Level_3,'nsimsun'
Security_Level_3,'text'
Security_Level_3,'time'
Security_Level_3,'queri'
Security_Level_3,'grown'
Security_Level_3,'user'
Security_Level_3,'search'
Security_Level_3,'which'
Security_Level_3,'instanc'
Security_Level_3,'ofit'
Security_Level_3,'subdirectori'
Security_Level_3,'hendler'
Security_Level_3,'feff03a703c103b703c303b903bc03bf03c003bf03b903ae03c303c403b5002003b103c503c403ad03c2002003c403b903c2002003c103c503b803bc03af03c303b503b903c2002003b303b903b1002003bd03b1002003b403b703bc03b903bf03c503c103b303ae03c303b503c403b5002003ad03b303b303c103b103c603b'
Security_Level_3,'rockwel'
Security_Level_3,'xycmat10'
Security_Level_3,'condensedextrabold'
Security_Level_3,'itemset'
Security_Level_3,'dotum'
Security_Level_3,'unavoid'
Security_Level_3,'pdfxbleedboxtotrimboxoffset'
Security_Level_3,'sql'
Security_Level_3,'palatinolinotyp'
Security_Level_3,'imprintmt'
Security_Level_3,'tsuda'
Security_Level_3,'worldwidewebs'
Security_Level_3,'typic'
Security_Level_3,'morita'
Security_Level_3,'deze'
